title,make,model,year,condition,transmission,price
Mercedes-Benz GLC-Class 2016 Black,Mercedes Benz,GLC-Class,2016,Local Used,Automatic,16500000.0
Toyota Camry Base 4dr Sedan (2.5L 4cyl 6M) 2010 Gray,Toyota,Camry Base,2010,Local Used,Automatic,6000000.0
Toyota Yaris 2017 White,Toyota,Yaris,2017,Local Used,Automatic,10000000.0
Mercedes-Benz GLK-Class 350 4MATIC 2011 White,Mercedes Benz,GLK-Class 350,2011,Local Used,Automatic,12500000.0
Toyota Camry 2001 Gray,Toyota,Camry,2001,Local Used,Automatic,1900000.0
Toyota Sienna LE AWD 2005 Silver,Toyota,Sienna LE,2005,Local Used,Automatic,5800000.0
Toyota Camry 2006 Gray,Toyota,Camry,2006,Foreign Used,Automatic,11500000.0
Hyundai Elantra Limited 4dr Sedan (1.8L 4cyl 6A) 2014 White,Hyundai,Elantra Limited,2014,Foreign Used,Automatic,10900000.0
Mercedes-Benz GLE-Class GLE 350 2017 White,Mercedes Benz,GLE-Class GLE,2017,Foreign Used,Automatic,31000000.0
Mercedes-Benz M Class 2015 Blue,Mercedes Benz,M Class,2015,Foreign Used,Automatic,18500000.0
Jaguar XF R 2012 Black,Jaguar,XF R,2012,Local Used,Automatic,11000000.0
Toyota Camry LE 4dr Sedan (2.5L 4cyl 6A) 2011 Gray,Toyota,Camry LE,2011,Local Used,Automatic,6900000.0
Toyota RAV4 2016 Blue,Toyota,RAV4,2016,Foreign Used,Automatic,32000000.0
Lexus RX 350 FWD 2018 Gray,Lexus,RX 350,2018,Local Used,Automatic,20000000.0
Honda Accord 2006,Honda,Accord,2006,Local Used,Automatic,2550000.0
Mercedes-Benz C300 2008 Red,Mercedes Benz,C300,2008,Local Used,Automatic,7500000.0
Toyota Matrix 2005 Blue,Toyota,Matrix,2005,Local Used,Automatic,4081640.0
Chevrolet Equinox LS AWD 2006 Silver,Chevrolet,Equinox LS,2006,Local Used,Automatic,4000000.0
Honda Accord 2009 Gray,Honda,Accord,2009,Local Used,Automatic,4429687.0
Toyota Camry 2011 Gray,Toyota,Camry,2011,Foreign Used,Automatic,5900000.0
Honda Accord 2013 Silver,Honda,Accord,2013,Local Used,Automatic,9800000.0
Lexus ES 350 2009 Black,Lexus,ES 350,2009,Foreign Used,Automatic,11000000.0
Toyota Tundra Regular Cab 2006 Red,Toyota,Tundra Regular,2006,Local Used,Automatic,9500000.0
Mercedes-Benz GLE-Class GLE 350 2017 White,Mercedes Benz,GLE-Class GLE,2017,Foreign Used,Automatic,32000000.0
Toyota Camry XLE 4dr Sedan (2.5L 4cyl 6AM) 2010 Black,Toyota,Camry XLE,2010,Local Used,Automatic,6850000.0
Mercedes-Benz C300 2016 Black,Mercedes Benz,C300,2016,Foreign Used,Automatic,19354587.0
Acura MDX SUV 4dr AWD (3.7 6cyl 5A) 2008 Brown,Acura,MDX SUV,2008,Foreign Used,Automatic,9200000.0
Toyota Tacoma 2010 Black,Toyota,Tacoma,2010,Foreign Used,Automatic,18050000.0
Toyota Sequoia Limited 4dr SUV (5.7L 8cyl 6A) 2012 Gray,Toyota,Sequoia Limited,2012,Foreign Used,Automatic,16200000.0
Toyota Tacoma 2010 Silver,Toyota,Tacoma,2010,Foreign Used,Automatic,18000000.0
Toyota Tacoma 2010 Black,Toyota,Tacoma,2010,Foreign Used,Automatic,18000000.0
Acura MDX 2011 Black,Acura,MDX,2011,Foreign Used,Automatic,10100000.0
Toyota Sequoia Limited 4dr SUV (4.7L 8cyl 5A) 2007 Black,Toyota,Sequoia Limited,2007,Foreign Used,Automatic,12500000.0
Toyota Camry XSE V6 4dr Sedan (3.5L 6cyl 6A) 2016 Black,Toyota,Camry XSE,2016,Foreign Used,Automatic,13000000.0
Acura MDX Advance Package SUV AWD (3.7L 6cyl 6A) 2012 Gray,Acura,MDX Advance,2012,Foreign Used,Automatic,9200000.0
