title,make,model,year,condition,transmission,price
Toyota Tundra Regular Cab 2006 Red,Toyota,Tundra Regular,2006,local used,automatic,"₦ 9,500,000"
Mercedes-Benz GLE-Class GLE 350 2017 White,Mercedes-Benz,GLE-Class GLE,2017,foreign used,automatic,"₦ 32,000,000"
Toyota Camry XLE 4dr Sedan (2.5L 4cyl 6AM) 2010 Black,Toyota,Camry XLE,2010,local used,automatic,"₦ 6,850,000"
Mercedes-Benz C300 2016 Black,Mercedes-Benz,C300,2016,foreign used,automatic,"₦ 19,354,587"
Mercedes-Benz GLC-Class GLC 300 2025 White,Mercedes-Benz,GLC-Class GLC,2025,foreign used,automatic,"₦ 82,000,000"
Acura MDX SUV 4dr AWD (3.7 6cyl 5A) 2008 Brown,Acura,MDX SUV,2008,foreign used,automatic,"₦ 9,200,000"
Toyota Tacoma 2010 Black,Toyota,Tacoma,2010,foreign used,automatic,"₦ 18,050,000"
Toyota Sequoia Limited 4dr SUV (5.7L 8cyl 6A) 2012 Gray,Toyota,Sequoia Limited,2012,foreign used,automatic,"₦ 16,200,000"
Toyota Tacoma 2010 Silver,Toyota,Tacoma,2010,foreign used,automatic,"₦ 18,000,000"
Toyota Tacoma 2010 Black,Toyota,Tacoma,2010,foreign used,automatic,"₦ 18,000,000"
Acura MDX 2011 Black,Acura,MDX,2011,foreign used,automatic,"₦ 10,100,000"
Toyota Sequoia Limited 4dr SUV (4.7L 8cyl 5A) 2007 Black,Toyota,Sequoia Limited,2007,foreign used,automatic,"₦ 12,500,000"
Toyota Camry XSE V6 4dr Sedan (3.5L 6cyl 6A) 2016 Black,Toyota,Camry XSE,2016,foreign used,automatic,"₦ 13,000,000"
Lexus RX 350 2020 White,Lexus,RX 350,2020,foreign used,automatic,"₦ 40,000,000"
Acura MDX Advance Package SUV AWD (3.7L 6cyl 6A) 2012 Gray,Acura,MDX Advance,2012,foreign used,automatic,"₦ 9,200,000"
Toyota Sequoia 2013 Black,Toyota,Sequoia,2013,foreign used,automatic,"₦ 20,000,000"
Toyota Sequoia Platinum 4x4 2018 Black,Toyota,Sequoia Platinum,2018,foreign used,automatic,"₦ 25,000,000"
Lexus LX 570 AWD 2018 Black,Lexus,LX 570,2018,foreign used,automatic,"₦ 45,000,000"
Toyota Highlander Limited 2010 Black,Toyota,Highlander Limited,2010,foreign used,automatic,"₦ 12,000,000"
Lexus RX 350 AWD 2015 Black,Lexus,RX 350,2015,foreign used,automatic,"₦ 20,000,000"
Acura MDX 2016 White,Acura,MDX,2016,foreign used,automatic,"₦ 15,300,000"
Acura MDX 4dr SUV (3.5L 6cyl 6A) 2015 Black,Acura,MDX 4dr,2015,foreign used,automatic,"₦ 13,000,000"
Acura ILX 2015 Gray,Acura,ILX,2015,foreign used,automatic,"₦ 10,000,000"
Lexus ES 350 FWD 2015 Gold,Lexus,ES 350,2015,foreign used,automatic,"₦ 18,000,000"
Acura MDX 2009 Brown,Acura,MDX,2009,foreign used,automatic,"₦ 8,000,000"
Acura RDX 2015 Black,Acura,RDX,2015,foreign used,automatic,"₦ 13,000,000"
Acura MDX 2014 Silver,Acura,MDX,2014,foreign used,automatic,"₦ 13,200,000"
Lexus RX 350 2WD 2020 White,Lexus,RX 350,2020,foreign used,automatic,"₦ 40,000,000"
Toyota Sequoia Limited 4dr SUV (5.7L 8cyl 6A) 2012,Toyota,Sequoia Limited,2012,foreign used,automatic,"₦ 16,000,000"
Acura MDX 2011 Black,Acura,MDX,2011,foreign used,automatic,"₦ 10,200,000"
Mercedes-Benz GLK-Class 350 2011 White,Mercedes-Benz,GLK-Class 350,2011,foreign used,automatic,"₦ 19,000,000"
Toyota Sequoia SR5 4dr SUV 4WD (5.7L 8cyl 6A) 2015 Black,Toyota,Sequoia SR5,2015,foreign used,automatic,"₦ 23,000,000"
Lexus ES 350 FWD 2015 White,Lexus,ES 350,2015,foreign used,automatic,"₦ 17,000,000"
Toyota Highlander Limited 2010 Gold,Toyota,Highlander Limited,2010,foreign used,automatic,"₦ 12,000,000"
Toyota Highlander Limited 2010 White,Toyota,Highlander Limited,2010,foreign used,automatic,"₦ 12,200,000"
Toyota Highlander Limited 3.5L 2WD 2013 Blue,Toyota,Highlander Limited,2013,foreign used,automatic,"₦ 15,100,000"
Toyota Land Cruiser Prado 2022 White,Toyota,Land Cruiser,2022,foreign used,automatic,"₦ 95,000,000"
Acura MDX 2012 Gray,Acura,MDX,2012,foreign used,automatic,"₦ 9,500,000"
Acura MDX 2012 Blue,Acura,MDX,2012,foreign used,automatic,"₦ 9,500,000"
Acura MDX 2016 Brown,Acura,MDX,2016,foreign used,automatic,"₦ 15,000,000"
Acura MDX 2015 Green,Acura,MDX,2015,foreign used,automatic,"₦ 13,000,000"
Acura MDX 2012 Blue,Acura,MDX,2012,foreign used,automatic,"₦ 9,700,000"
Lexus GX 470 2007 White,Lexus,GX 470,2007,foreign used,automatic,"₦ 14,050,000"
Lexus GX 470 Sport Utility 2007 Gold,Lexus,GX 470,2007,foreign used,automatic,"₦ 14,300,000"
Toyota Sequoia 2012 Black,Toyota,Sequoia,2012,foreign used,automatic,"₦ 17,000,000"
Lexus GX 470 Sport Utility 2007 Gray,Lexus,GX 470,2007,foreign used,automatic,"₦ 14,000,000"
Acura MDX SUV 4dr AWD (3.7 6cyl 5A) 2009 Gray,Acura,MDX SUV,2009,foreign used,automatic,"₦ 9,300,000"
Acura MDX SUV 4dr AWD (3.7L 6cyl 6A) 2011 Silver,Acura,MDX SUV,2011,foreign used,automatic,"₦ 9,300,000"
Toyota Camry 2008 Silver,Toyota,Camry,2008,foreign used,automatic,"₦ 8,000,000"
Toyota Sequoia 2015 Black,Toyota,Sequoia,2015,foreign used,automatic,"₦ 18,200,000"
Toyota Sequoia 2015 Silver,Toyota,Sequoia,2015,foreign used,automatic,"₦ 18,000,000"
Acura MDX Advance Package SUV AWD (3.7L 6cyl 6A) 2011 Black,Acura,MDX Advance,2011,foreign used,automatic,"₦ 9,000,000"
Acura MDX 2012 Red,Acura,MDX,2012,foreign used,automatic,"₦ 9,500,000"
Acura MDX SUV 4dr AWD (3.7L 6cyl 6A) 2011 Gray,Acura,MDX SUV,2011,foreign used,automatic,"₦ 9,300,000"
Acura MDX 2012 Silver,Acura,MDX,2012,foreign used,automatic,"₦ 9,500,000"
Acura MDX 2016 Gray,Acura,MDX,2016,foreign used,automatic,"₦ 15,000,000"
Toyota Tacoma 2010 Silver,Toyota,Tacoma,2010,foreign used,automatic,"₦ 18,000,000"
Toyota Tundra 2020 Brown,Toyota,Tundra,2020,foreign used,automatic,"₦ 30,000,000"
Acura MDX 2011 Red,Acura,MDX,2011,foreign used,automatic,"₦ 10,300,000"
Toyota Highlander Limited 2010 Green,Toyota,Highlander Limited,2010,foreign used,automatic,"₦ 12,000,000"
Toyota Highlander Limited 3.5L 2WD 2013 Brown,Toyota,Highlander Limited,2013,foreign used,automatic,"₦ 15,000,000"
Lexus RX 2015 Black,Lexus,RX,2015,foreign used,automatic,"₦ 20,000,000"
Toyota Land Cruiser 2023 Black,Toyota,Land Cruiser,2023,foreign used,automatic,"₦ 105,000,000"
Acura MDX 2008 Green,Acura,MDX,2008,foreign used,automatic,"₦ 8,000,000"
Acura MDX 2015 White,Acura,MDX,2015,foreign used,automatic,"₦ 13,000,000"
Acura MDX 2016 Black,Acura,MDX,2016,foreign used,automatic,"₦ 15,000,000"
Acura MDX SUV 4dr AWD (3.7 6cyl 5A) 2008 Silver,Acura,MDX SUV,2008,foreign used,automatic,"₦ 9,000,000"
Acura MDX 2009 Gray,Acura,MDX,2009,foreign used,automatic,"₦ 9,000,000"
Toyota Sequoia 2007 White,Toyota,Sequoia,2007,foreign used,automatic,"₦ 12,800,000"
Lexus GX 470 Sport Utility 2007 White,Lexus,GX 470,2007,foreign used,automatic,"₦ 14,500,000"
Lexus GX 470 2007 Silver,Lexus,GX 470,2007,foreign used,automatic,"₦ 14,200,000"
Lexus GX 470 2007 Gold,Lexus,GX 470,2007,foreign used,automatic,"₦ 14,250,000"
Toyota Tacoma 2015 Brown,Toyota,Tacoma,2015,foreign used,automatic,"₦ 21,000,000"
Toyota Tacoma 2015 White,Toyota,Tacoma,2015,foreign used,automatic,"₦ 20,000,000"
Acura MDX SH 4dr SUV AWD (3.5L 6cyl 9A) 2016 White,Acura,MDX SH,2016,foreign used,automatic,"₦ 14,000,000"
Toyota Sequoia 2015 Black,Toyota,Sequoia,2015,foreign used,automatic,"₦ 18,000,000"
Toyota Sequoia 2017 Black,Toyota,Sequoia,2017,foreign used,automatic,"₦ 25,000,000"
Toyota Highlander Limited 2010 Red,Toyota,Highlander Limited,2010,foreign used,automatic,"₦ 12,000,000"
Lexus RX 2015 Red,Lexus,RX,2015,foreign used,automatic,"₦ 20,000,000"
Acura MDX 2015 White,Acura,MDX,2015,foreign used,automatic,"₦ 13,000,000"
Acura MDX 2011 White,Acura,MDX,2011,foreign used,automatic,"₦ 9,400,000"
Toyota Camry SE 4dr Sedan (2.4L 4cyl 5A) 2009 Blue,Toyota,Camry SE,2009,local used,automatic,"₦ 5,890,000"
Toyota Camry XLE V6 4dr Sedan (3.5L 6cyl 6A) 2013 Gray,Toyota,Camry XLE,2013,local used,automatic,"₦ 12,300,000"
Toyota Camry 2015 White,Toyota,Camry,2015,foreign used,automatic,"₦ 17,000,000"
Toyota Corolla 1998 Gray,Toyota,Corolla,1998,local used,automatic,"₦ 3,000,000"
Land Rover Range Rover 3.0L Supercharged HSE 2014 White,Land,Rover Range,2014,local used,automatic,"₦ 22,781,250"
Toyota RAV4 2021 Black,Toyota,RAV4,2021,foreign used,automatic,"₦ 31,000,000"
Toyota Sequoia 2009,Toyota,Sequoia,2009,local used,automatic,"₦ 9,200,000"
Mercedes-Benz G-Class 2013 Gray,Mercedes-Benz,G-Class,2013,local used,automatic,"₦ 64,000,000"
Leapmotor C16 2024 Green,Leapmotor,C16,2024,foreign used,automatic,"₦ 49,000,000"
Toyota Land Cruiser Prado 4.0 2023 White,Toyota,Land Cruiser,2023,foreign used,automatic,"₦ 75,000,000"
Acura MDX SH 4dr SUV AWD (3.5L 6cyl 9A) 2016 Red,Acura,MDX SH,2016,foreign used,automatic,"₦ 14,000,000"
Toyota Corolla 2010,Toyota,Corolla,2010,foreign used,automatic,"₦ 9,500,000"
Peugeot 206 2004 Blue,Peugeot,206,2004,local used,automatic,"₦ 2,100,000"
Toyota Camry 2012 Gray,Toyota,Camry,2012,foreign used,automatic,"₦ 13,000,000"
Toyota Highlander Limited V6 2007 Red,Toyota,Highlander Limited,2007,foreign used,automatic,"₦ 15,000,000"
Toyota Tacoma Double Cab V6 Automatic 2011 Silver,Toyota,Tacoma Double,2011,foreign used,automatic,"₦ 19,500,000"
Toyota Camry XLE 4dr Sedan (2.5L 4cyl 6A) 2014 Silver,Toyota,Camry XLE,2014,foreign used,automatic,"₦ 15,000,000"
Toyota Highlander Limited 2010 Silver,Toyota,Highlander Limited,2010,foreign used,automatic,"₦ 15,500,000"
Nissan Sentra 2019 Gray,Nissan,Sentra,2019,local used,,"₦ 21,515,625"
Toyota Highlander Limited V6 2007 Gold,Toyota,Highlander Limited,2007,foreign used,automatic,"₦ 11,750,000"
Acura MDX 2009 Red,Acura,MDX,2009,foreign used,automatic,"₦ 10,000,000"
Lexus GX 460 Luxury 2016 Gray,Lexus,GX 460,2016,foreign used,automatic,"₦ 45,500,000"
Honda Accord 2008 Gray,Honda,Accord,2008,local used,automatic,"₦ 6,500,000"
BMW X1 2014 Black,BMW,X1,2014,foreign used,automatic,"₦ 14,200,000"
Toyota Camry 2014 Red,Toyota,Camry,2014,foreign used,automatic,"₦ 13,300,000"
Toyota Corolla 2011 White,Toyota,Corolla,2011,foreign used,automatic,"₦ 11,900,000"
Honda Accord EX-L V-6 4dr Sedan FWD (3.5L 6cyl 6A) 2013 Gray,Honda,Accord EX-L,2013,local used,automatic,"₦ 8,000,000"
Toyota Corolla 2007 Silver,Toyota,Corolla,2007,local used,automatic,"₦ 6,900,000"
Kia Cerato 2012 Silver,Kia,Cerato,2012,local used,automatic,"₦ 5,500,000"
Toyota Highlander XLE AWD 2020 Blue,Toyota,Highlander XLE,2020,foreign used,automatic,"₦ 49,500,000"
