title,make,model,year,condition,transmission,price
Toyota Vellfire 2015 Gray,Toyota,Vellfire,2015,foreign used,automatic,"₦ 16,800,000"
Toyota RAV4 Limited 2008 Black,Toyota,RAV4 Limited,2008,foreign used,automatic,"₦ 13,200,000"
Lexus RX 350 2011 Silver,Lexus,RX 350,2011,foreign used,automatic,"₦ 13,000,000"
Honda Accord 2006 Gold,Honda,Accord,2006,local used,automatic,"₦ 3,800,000"
Honda Crosstour 2012 Gray,Honda,Crosstour,2012,foreign used,automatic,"₦ 14,000,000"
Honda Accord 2007 Black,Honda,Accord,2007,local used,automatic,"₦ 3,900,000"
Toyota Yaris 2013 Gray,Toyota,Yaris,2013,local used,automatic,"₦ 7,300,000"
Honda Accord 2005 Silver,Honda,Accord,2005,local used,automatic,"₦ 3,900,000"
Hyundai Tucson 2016 Burgundy,Hyundai,Tucson,2016,foreign used,automatic,"₦ 18,000,000"
Lexus ES 2012 Gray,Lexus,ES,2012,local used,automatic,"₦ 17,000,000"
Land Rover Range Rover 2018 White,Land,Rover Range,2018,local used,automatic,"₦ 57,000,000"
Toyota Camry 2011 Green,Toyota,Camry,2011,foreign used,automatic,"₦ 10,500,000"
Mazda CX-9 2015 Blue,Mazda,CX-9,2015,foreign used,automatic,"₦ 18,500,000"
Honda Pilot 2013 Red,Honda,Pilot,2013,foreign used,automatic,"₦ 15,500,000"
Acura MDX SH-AWD 4dr SUV AWD (3.5L 6cyl 6A) 2015 Red,Acura,MDX SH-AWD,2015,foreign used,automatic,"₦ 13,500,000"
Toyota 4-Runner Limited 4dr 4x4 (4.0L 6cyl 5A) 2016 Black,Toyota,4-Runner Limited,2016,foreign used,automatic,"₦ 40,000,000"
Lexus GX 460 Luxury 2015 White,Lexus,GX 460,2015,foreign used,automatic,"₦ 43,000,000"
Honda Accord 2011 Gold,Honda,Accord,2011,local used,automatic,"₦ 6,000,000"
Honda Accord 2004 White,Honda,Accord,2004,local used,automatic,"₦ 3,950,000"
Mercedes-Benz C240 2004 Gold,Mercedes-Benz,C240,2004,local used,automatic,"₦ 4,300,000"
Lexus RX 330 2006 Blue,Lexus,RX 330,2006,local used,automatic,"₦ 7,250,000"
Acura MDX 2015 White,Acura,MDX,2015,foreign used,automatic,"₦ 14,300,000"
Toyota RAV4 Limited 4x4 2009 White,Toyota,RAV4 Limited,2009,foreign used,automatic,"₦ 12,500,000"
New Mercedes-Benz G-Class 2023 Blue,Mercedes-Benz,G-Class,2023,brand new,automatic,"₦ 460,000,000"
Toyota Highlander Limited 3.5l 4WD 2013 Black,Toyota,Highlander Limited,2013,foreign used,automatic,"₦ 15,400,000"
Toyota RAV4 Limited 2008 Gray,Toyota,RAV4 Limited,2008,foreign used,automatic,"₦ 12,300,000"
Acura MDX 2015 Silver,Acura,MDX,2015,foreign used,automatic,"₦ 13,000,000"
Honda Accord 2010 Black,Honda,Accord,2010,local used,automatic,"₦ 5,800,000"
Mercedes-Benz GLK-Class 350 4MATIC 2013 White,Mercedes-Benz,GLK-Class 350,2013,local used,automatic,"₦ 16,500,000"
Honda Accord 2009 White,Honda,Accord,2009,local used,automatic,"₦ 6,200,000"
Toyota Corolla 2016 White,Toyota,Corolla,2016,foreign used,automatic,"₦ 13,800,000"
Honda Accord 2017 Black,Honda,Accord,2017,local used,automatic,"₦ 11,000,000"
Mercedes-Benz C300 2012 Silver,Mercedes-Benz,C300,2012,foreign used,automatic,"₦ 12,700,000"
Toyota Camry SE (2.5L 4cyl 8A) 2019 White,Toyota,Camry SE,2019,foreign used,automatic,"₦ 18,900,000"
Honda CR-V 2008 Green,Honda,CR-V,2008,local used,automatic,"₦ 6,800,000"
Acura MDX SH 4dr SUV AWD (3.5L 6cyl 9A) 2016 Black,Acura,MDX SH,2016,foreign used,automatic,"₦ 16,000,000"
Toyota Highlander Limited 3.5l 4WD 2013 Red,Toyota,Highlander Limited,2013,foreign used,automatic,"₦ 18,500,000"
Toyota Corolla XLE (1.8L 4cyl 2A) 2018 Red,Toyota,Corolla XLE,2018,foreign used,automatic,"₦ 20,000,000"
Lexus ES 350 2008 Brown,Lexus,ES 350,2008,foreign used,automatic,"₦ 10,500,000"
Acura MDX Tech & A-Spec Pkgs SH-AWD 2019 Gray,Acura,MDX Tech,2019,foreign used,automatic,"₦ 24,000,000"
Honda Accord 2010 Silver,Honda,Accord,2010,local used,automatic,"₦ 6,000,000"
Toyota Camry 2013 Black,Toyota,Camry,2013,local used,automatic,"₦ 8,500,000"
Toyota Highlander XSE AWD 2023 Black,Toyota,Highlander XSE,2023,foreign used,automatic,"₦ 77,000,000"
Mercedes-Benz C300 2014 Black,Mercedes-Benz,C300,2014,foreign used,automatic,"₦ 13,700,000"
Toyota Matrix 2010 Silver,Toyota,Matrix,2010,local used,automatic,"₦ 6,850,000"
Ford Edge Titanium AWD 2020 Black,Ford,Edge Titanium,2020,foreign used,automatic,"₦ 35,000,000"
Toyota Camry XLE 4dr Sedan (2.5L 4cyl 6A) 2011 Gray,Toyota,Camry XLE,2011,foreign used,automatic,"₦ 11,200,000"
Toyota RAV4 Limited 4dr SUV AWD (2.5L 4cyl 6A) 2015 Brown,Toyota,RAV4 Limited,2015,foreign used,automatic,"₦ 22,000,000"
Honda Odyssey 2008 Silver,Honda,Odyssey,2008,foreign used,automatic,"₦ 8,000,000"
Acura MDX SUV 4dr AWD (3.7 6cyl 5A) 2008 White,Acura,MDX SUV,2008,foreign used,automatic,"₦ 9,500,000"
Toyota Camry 2009 Gold,Toyota,Camry,2009,foreign used,automatic,"₦ 10,600,000"
Honda Pilot 2014 White,Honda,Pilot,2014,foreign used,automatic,"₦ 16,500,000"
Acura MDX Advance Package SUV AWD (3.7L 6cyl 6A) 2013 Black,Acura,MDX Advance,2013,foreign used,,"₦ 10,500,000"
Acura MDX SUV 4dr AWD (3.7 6cyl 5A) 2008 Gray,Acura,MDX SUV,2008,foreign used,automatic,"₦ 8,500,000"
Toyota Corolla 2010 Gray,Toyota,Corolla,2010,local used,automatic,"₦ 7,900,000"
Nissan Sentra 2012 Silver,Nissan,Sentra,2012,local used,automatic,"₦ 4,650,000"
Toyota Corolla 2009 Red,Toyota,Corolla,2009,local used,automatic,"₦ 8,700,000"
Toyota Highlander 2013 Black,Toyota,Highlander,2013,foreign used,automatic,"₦ 19,500,000"
Toyota Corolla 2017 White,Toyota,Corolla,2017,local used,automatic,"₦ 12,100,000"
Mercedes-Benz E350 2014 White,Mercedes-Benz,E350,2014,foreign used,automatic,"₦ 24,000,000"
Honda Accord LX 4dr Sedan (2.4L 4cyl 6M) 2015 Gray,Honda,Accord LX,2015,foreign used,automatic,"₦ 10,800,000"
Toyota Camry 2013 Black,Toyota,Camry,2013,foreign used,automatic,"₦ 13,500,000"
Toyota Camry 2008 Gold,Toyota,Camry,2008,local used,automatic,"₦ 6,700,000"
Acura MDX 2018 White,Acura,MDX,2018,foreign used,automatic,"₦ 23,500,000"
Toyota Camry XLE V6 4dr Sedan (3.5L 6cyl 6A) 2011 Black,Toyota,Camry XLE,2011,foreign used,automatic,"₦ 11,500,000"
Honda Accord EX-L 4dr Sedan FWD (2.4L 4cyl 2A) 2013 White,Honda,Accord EX-L,2013,local used,automatic,"₦ 9,500,000"
Acura MDX Technology Package SUV AWD (3.7L 6cyl 6A) 2013 Black,Acura,MDX Technology,2013,foreign used,automatic,"₦ 11,000,000"
Acura TL SH-AWD AT 2013 Black,Acura,TL SH-AWD,2013,foreign used,automatic,"₦ 12,500,000"
Toyota Sienna XLE AWD 7-Passenger 2013 Silver,Toyota,Sienna XLE,2013,foreign used,automatic,"₦ 19,500,000"
Acura MDX 2015 White,Acura,MDX,2015,foreign used,automatic,"₦ 14,200,000"
Toyota RAV4 Limited V6 2008 Silver,Toyota,RAV4 Limited,2008,foreign used,automatic,"₦ 12,500,000"
Acura MDX 2006 Black,Acura,MDX,2006,foreign used,automatic,"₦ 7,000,000"
Lexus RX 350 AWD 2015 Gray,Lexus,RX 350,2015,foreign used,automatic,"₦ 22,500,000"
Lexus RX 350L 4WD 2020 Black,Lexus,RX 350L,2020,foreign used,automatic,"₦ 58,000,000"
Toyota Avensis 1.8 C Combi 2005 Silver,Toyota,Avensis 1,2005,foreign used,automatic,"₦ 12,000,000"
Honda Accord EX-L 4dr Sedan w/Navigation (2.4L 4cyl CVT) 2014 Gray,Honda,Accord EX-L,2014,foreign used,automatic,"₦ 13,400,000"
BMW 328i 2009 White,BMW,328i,2009,local used,automatic,"₦ 6,700,000"
Mercedes-Benz GLK-Class 2013 Red,Mercedes-Benz,GLK-Class,2013,foreign used,automatic,"₦ 14,500,000"
Toyota Camry SE (2.5L 4cyl 8A) 2019 Silver,Toyota,Camry SE,2019,foreign used,automatic,"₦ 22,500,000"
BMW 3 Series 2005 White,BMW,3 Series,2005,local used,automatic,"₦ 7,000,000"
Lexus GS 350 2012 Silver,Lexus,GS 350,2012,local used,automatic,"₦ 14,300,000"
Honda Accord 2013 Black,Honda,Accord,2013,local used,automatic,"₦ 11,900,000"
Toyota Camry SE 4dr Sedan (2.5L 4cyl 6A) 2015 Black,Toyota,Camry SE,2015,local used,automatic,"₦ 11,800,000"
Mercedes-Benz E350 2024 Black,Mercedes-Benz,E350,2024,local used,automatic,"₦ 13,700,000"
Mercedes-Benz GLK-Class 350 4MATIC 2014 Silver,Mercedes-Benz,GLK-Class 350,2014,foreign used,automatic,"₦ 19,400,000"
Lexus RX 2014 Gray,Lexus,RX,2014,foreign used,automatic,"₦ 23,500,000"
Nissan Frontier Automatic 2005 Gray,Nissan,Frontier Automatic,2005,local used,automatic,"₦ 6,000,000"
Toyota 4-Runner Limited 4X4 2013 Black,Toyota,4-Runner Limited,2013,foreign used,automatic,"₦ 32,000,000"
Acura MDX Advance and Entertainment Packages 4dr SUV (3.5L 6cyl 6A),,,,foreign used,automatic,"₦ 13,000,000"
Toyota Camry SE FWD (2.5L 4cyl 8AM) 2018 Gray,Toyota,Camry SE,2018,foreign used,automatic,"₦ 33,000,000"
Mercedes-Benz C300 Base C300 AWD 4MATIC Sedan 2019 Black,Mercedes-Benz,C300 Base,2019,foreign used,automatic,"₦ 24,000,000"
Toyota Camry 2009 Black,Toyota,Camry,2009,foreign used,automatic,"₦ 10,500,000"
Toyota Camry XSE FWD (2.5L 4cyl 8AM) 2018 Burgundy,Toyota,Camry XSE,2018,foreign used,automatic,"₦ 24,000,000"
Pontiac Vibe 2009 Silver,Pontiac,Vibe,2009,local used,automatic,"₦ 7,300,000"
Toyota Corolla 2010 Gray,Toyota,Corolla,2010,local used,automatic,"₦ 8,700,000"
Toyota Corolla Sedan 2004 Silver,Toyota,Corolla Sedan,2004,local used,automatic,"₦ 5,500,000"
Toyota Camry LE V6 4dr Sedan (3.5L 6cyl 6A) 2011 Red,Toyota,Camry LE,2011,foreign used,automatic,"₦ 10,500,000"
Toyota RAV4 Limited 4dr SUV AWD (2.5L 4cyl 6A) 2018 Gray,Toyota,RAV4 Limited,2018,foreign used,automatic,"₦ 30,000,000"
Toyota Camry 2011 Gray,Toyota,Camry,2011,foreign used,automatic,"₦ 10,500,000"
Toyota Tacoma 2013 Black,Toyota,Tacoma,2013,foreign used,automatic,"₦ 24,500,000"
Acura MDX Technology Package AWD (3.7 6cyl 5A) 2008 Black,Acura,MDX Technology,2008,foreign used,automatic,"₦ 8,500,000"
Toyota Highlander Limited 2019 Red,Toyota,Highlander Limited,2019,foreign used,automatic,"₦ 46,000,000"
Toyota Corolla S 4dr Sedan (1.8L 4cyl CVT) 2015 Blue,Toyota,Corolla S,2015,foreign used,automatic,"₦ 15,000,000"
Toyota RAV4 Limited 4dr SUV AWD (2.5L 4cyl 6A) 2018 Black,Toyota,RAV4 Limited,2018,foreign used,automatic,"₦ 39,000,000"
Acura MDX Advance and Entertainment Packages 4dr SUV (3.5L 6cyl 6A),,,,foreign used,automatic,"₦ 14,000,000"
Toyota Corolla LE 2020 Silver,Toyota,Corolla LE,2020,foreign used,automatic,"₦ 26,000,000"
Toyota RAV4 2.0 VVT-i 2008 Black,Toyota,RAV4 2,2008,foreign used,automatic,"₦ 12,700,000"
Toyota Camry SE V6 4dr Sedan (3.5L 6cyl 6A) 2011 Red,Toyota,Camry SE,2011,foreign used,automatic,"₦ 11,700,000"
Toyota Highlander Limited 4x4 2009 Blue,Toyota,Highlander Limited,2009,foreign used,automatic,"₦ 14,500,000"
Toyota Venza V6 2012 Brown,Toyota,Venza V6,2012,foreign used,automatic,"₦ 16,000,000"
Toyota Highlander Limited 3.5l 4WD 2013 Gray,Toyota,Highlander Limited,2013,foreign used,automatic,"₦ 16,500,000"
Honda Accord 2012 Blue,Honda,Accord,2012,local used,automatic,"₦ 6,800,000"
Honda Accord EX-L 4dr Sedan FWD (2.4L 4cyl 2A) 2017 Gray,Honda,Accord EX-L,2017,foreign used,automatic,"₦ 17,000,000"
Honda Accord 2016 Silver,Honda,Accord,2016,local used,automatic,"₦ 11,500,000"
Pontiac Vibe 2006 Black,Pontiac,Vibe,2006,local used,automatic,"₦ 6,400,000"
Mercedes-Benz GLK-Class 350 4MATIC 2010 Black,Mercedes-Benz,GLK-Class 350,2010,local used,automatic,"₦ 10,300,000"
Hyundai Accent 2015 Silver,Hyundai,Accent,2015,local used,automatic,"₦ 6,700,000"
Mercedes-Benz C300 2016 Gray,Mercedes-Benz,C300,2016,local used,automatic,"₦ 14,500,000"
Hyundai Veloster 2013 White,Hyundai,Veloster,2013,foreign used,automatic,"₦ 11,000,000"
Toyota Venza 2009 Brown,Toyota,Venza,2009,foreign used,automatic,"₦ 14,800,000"
Lexus RX 350 AWD 2013 Gray,Lexus,RX 350,2013,foreign used,automatic,"₦ 21,000,000"
Lexus RX 350 AWD 2013 Black,Lexus,RX 350,2013,foreign used,automatic,"₦ 20,000,000"
Toyota Sequoia 2007 Black,Toyota,Sequoia,2007,foreign used,automatic,"₦ 7,850,000"
Toyota Camry 2013 Red,Toyota,Camry,2013,foreign used,automatic,"₦ 15,500,000"
Toyota Camry SE 4dr Sedan (2.5L 4cyl 6A) 2011 Gray,Toyota,Camry SE,2011,foreign used,automatic,"₦ 12,500,000"
Toyota Highlander Limited 3.5l 4WD 2013 Silver,Toyota,Highlander Limited,2013,foreign used,automatic,"₦ 15,300,000"
Acura MDX Technology and Entertainment Packages 4dr SUV (3.5L 6cyl 6A),,,,foreign used,automatic,"₦ 14,200,000"
Toyota Highlander XLE V6 4x4 (3.5L 6cyl 6A) 2016 Black,Toyota,Highlander XLE,2016,foreign used,automatic,"₦ 26,000,000"
Acura MDX w/Advance & Ent. Pkgs SH-AWD 2018 White,Acura,MDX w,2018,foreign used,automatic,"₦ 22,500,000"
BMW 328i 2016 Gray,BMW,328i,2016,foreign used,automatic,"₦ 17,500,000"
BMW 328i 2008 Gray,BMW,328i,2008,local used,automatic,"₦ 6,300,000"
Toyota Camry SE 4dr Sedan (2.5L 4cyl 6A) 2011 Blue,Toyota,Camry SE,2011,foreign used,automatic,"₦ 11,300,000"
Lexus RX 350 AWD 2014 Maroon,Lexus,RX 350,2014,foreign used,automatic,"₦ 23,500,000"
Toyota Highlander XLE 4x4 V6 (3.5L 6cyl 8A) 2017 Gray,Toyota,Highlander XLE,2017,foreign used,automatic,"₦ 32,000,000"
Acura MDX Technology Package AWD (3.7 6cyl 5A) 2008 Blue,Acura,MDX Technology,2008,foreign used,automatic,"₦ 9,200,000"
Toyota Highlander Limited 4dr SUV (3.5L 6cyl 6A) 2015 White,Toyota,Highlander Limited,2015,foreign used,automatic,"₦ 26,500,000"
Lexus GX 460 Luxury 2017 Black,Lexus,GX 460,2017,foreign used,automatic,"₦ 48,000,000"
Acura MDX Advance & Ent. Pkgs SH-AWD 2019 Brown,Acura,MDX Advance,2019,foreign used,automatic,"₦ 25,000,000"
Toyota RAV4 2014 Silver,Toyota,RAV4,2014,foreign used,automatic,"₦ 23,500,000"
Pontiac Vibe 2009 Red,Pontiac,Vibe,2009,local used,automatic,"₦ 7,500,000"
BMW 325i 2005 Silver,BMW,325i,2005,local used,automatic,"₦ 4,600,000"
Lexus RX 350 FWD 2012 Red,Lexus,RX 350,2012,foreign used,automatic,"₦ 16,100,000"
Acura MDX 2009 Gray,Acura,MDX,2009,foreign used,automatic,"₦ 10,000,000"
Toyota Previa 2025 Silver,Toyota,Previa,2025,foreign used,automatic,"₦ 12,500,000"
Acura MDX SH-AWD 4dr SUV AWD (3.5L 6cyl 6A) 2015 Black,Acura,MDX SH-AWD,2015,foreign used,automatic,"₦ 14,500,000"
Acura MDX Technology Package SUV AWD (3.7L 6cyl 6A) 2013 Silver,Acura,MDX Technology,2013,foreign used,automatic,"₦ 10,700,000"
Toyota Camry 2016 Black,Toyota,Camry,2016,foreign used,automatic,"₦ 20,000,000"
Acura MDX 2015 Gray,Acura,MDX,2015,foreign used,automatic,"₦ 13,500,000"
Lexus ES 350 FWD 2015 Black,Lexus,ES 350,2015,foreign used,automatic,"₦ 18,000,000"
Acura MDX Advance Package SUV AWD (3.7L 6cyl 6A) 2013 Silver,Acura,MDX Advance,2013,foreign used,automatic,"₦ 11,200,000"
Mazda CX-9 2015 Brown,Mazda,CX-9,2015,foreign used,automatic,"₦ 19,500,000"
Mercedes-Benz C350 2013 White,Mercedes-Benz,C350,2013,foreign used,automatic,"₦ 15,000,000"
Toyota Corolla 2010 Silver,Toyota,Corolla,2010,local used,automatic,"₦ 7,800,000"
Peugeot 307 2007 Silver,Peugeot,307,2007,local used,automatic,"₦ 4,500,000"
Audi Q7 3.0T S line Prestige quattro 4dr SUV AWD (3.0L 6cyl S/C 8A),,,,foreign used,automatic,"₦ 16,000,000"
Lexus RX 2011 Black,Lexus,RX,2011,foreign used,automatic,"₦ 17,500,000"
Toyota Camry XSE 4dr Sedan (2.5l 4cyl 6A) 2016 Gray,Toyota,Camry XSE,2016,foreign used,automatic,"₦ 18,000,000"
Toyota Camry SE 4dr Sedan (2.4L 4cyl 5A) 2009 Silver,Toyota,Camry SE,2009,foreign used,automatic,"₦ 9,800,000"
Acura MDX 2011 Black,Acura,MDX,2011,foreign used,automatic,"₦ 10,500,000"
Toyota Camry 2011 Black,Toyota,Camry,2011,foreign used,automatic,"₦ 12,000,000"
Toyota Tacoma 2020 White,Toyota,Tacoma,2020,foreign used,automatic,"₦ 43,000,000"
Toyota Venza AWD 2011 Brown,Toyota,Venza AWD,2011,foreign used,automatic,"₦ 19,000,000"
Toyota 4-Runner 2014 Black,Toyota,4-Runner,2014,foreign used,automatic,"₦ 33,000,000"
Toyota Camry 2013 Gray,Toyota,Camry,2013,foreign used,automatic,"₦ 15,300,000"
Lexus GX 460 Luxury 2017 Black,Lexus,GX 460,2017,foreign used,automatic,"₦ 53,000,000"
Toyota Camry L 4dr Sedan (2.5L 4cyl 6A) 2014 Silver,Toyota,Camry L,2014,foreign used,automatic,"₦ 14,000,000"
Lexus RX 350 F Sport AWD 2015 White,Lexus,RX 350,2015,foreign used,automatic,"₦ 23,000,000"
Toyota Corolla LE 4dr Sedan (1.8L 4cyl 4A) 2013 Red,Toyota,Corolla LE,2013,foreign used,automatic,"₦ 13,500,000"
Toyota Highlander Limited 3.5l 4WD 2013 Brown,Toyota,Highlander Limited,2013,foreign used,automatic,"₦ 15,400,000"
Acura MDX 2015 Gray,Acura,MDX,2015,foreign used,automatic,"₦ 14,500,000"
Toyota Corolla LE 4dr Sedan (1.8L 4cyl CVT) 2015 Silver,Toyota,Corolla LE,2015,foreign used,automatic,"₦ 15,000,000"
Toyota Highlander Limited 2009 Blue,Toyota,Highlander Limited,2009,foreign used,automatic,"₦ 13,000,000"
Honda Accord 2013 Blue,Honda,Accord,2013,foreign used,automatic,"₦ 14,500,000"
Acura MDX w/Technology & Ent. Pkgs SH-AWD 2018 Gray,Acura,MDX w,2018,local used,automatic,"₦ 23,000,000"
Acura MDX Advance Package SUV AWD (3.7L 6cyl 6A) 2013 Brown,Acura,MDX Advance,2013,foreign used,automatic,"₦ 10,000,000"
Mercedes-Benz E350 2014 Black,Mercedes-Benz,E350,2014,foreign used,automatic,"₦ 16,800,000"
Honda Accord 2011 Black,Honda,Accord,2011,local used,automatic,"₦ 6,700,000"
Toyota Corolla S 4dr Sedan (1.8L 4cyl CVT) 2015 Gray,Toyota,Corolla S,2015,foreign used,automatic,"₦ 14,500,000"
Land Rover Range Rover Evoque 2013 Gray,Land,Rover Range,2013,local used,automatic,"₦ 18,000,000"
BMW X1 2013 White,BMW,X1,2013,local used,automatic,"₦ 14,300,000"
Honda Accord 2019 Gray,Honda,Accord,2019,foreign used,automatic,"₦ 24,500,000"
BMW 328i 2015 Black,BMW,328i,2015,local used,automatic,"₦ 11,000,000"
Lexus RX 350 F Sport AWD 2015 White,Lexus,RX 350,2015,foreign used,automatic,"₦ 26,000,000"
Honda Civic 2010 Silver,Honda,Civic,2010,local used,automatic,"₦ 4,800,000"
Mercedes-Benz C300 2011 Black,Mercedes-Benz,C300,2011,foreign used,automatic,"₦ 10,500,000"
Acura ZDX Base AWD 2011 Maroon,Acura,ZDX Base,2011,foreign used,automatic,"₦ 18,000,000"
Lexus ES 350 FWD 2013 Silver,Lexus,ES 350,2013,foreign used,automatic,"₦ 18,500,000"
Toyota Highlander 2018 Black,Toyota,Highlander,2018,foreign used,automatic,"₦ 35,000,000"
Mazda 3 2.5 s Sport Hatchback 2011 Burgundy,Mazda,3 2,2011,foreign used,automatic,"₦ 7,000,000"
Ford Explorer 2015 Black,Ford,Explorer,2015,local used,automatic,"₦ 15,187,500"
Toyota RAV4 Limited AWD (2.5L 4cyl 6A) 2016 Silver,Toyota,RAV4 Limited,2016,local used,automatic,"₦ 15,200,000"
New Toyota Hilux 2024 White,Toyota,Hilux,2024,brand new,manual,"₦ 58,000,000"
Hyundai Santa Fe 2017 Gray,Hyundai,Santa Fe,2017,local used,automatic,"₦ 10,900,000"
Honda Pilot 2013 White,Honda,Pilot,2013,foreign used,automatic,"₦ 15,200,000"
Lexus GX 460 Base 2013 Gray,Lexus,GX 460,2013,foreign used,automatic,"₦ 27,000,000"
Toyota Highlander XLE 4dr SUV AWD (3.5L 6cyl 6A) 2015 Gray,Toyota,Highlander XLE,2015,foreign used,automatic,"₦ 26,000,000"
Mazda CX-9 Touring 4dr SUV AWD (3.7L 6cyl 6A) 2015 White,Mazda,CX-9 Touring,2015,foreign used,automatic,"₦ 17,000,000"
Toyota Yaris 1.3 2005 Blue,Toyota,Yaris 1,2005,local used,automatic,"₦ 5,500,000"
Toyota Corolla 2012 Black,Toyota,Corolla,2012,foreign used,automatic,"₦ 13,300,000"
Acura MDX Advance Package SUV AWD (3.7L 6cyl 6A) 2013 Silver,Acura,MDX Advance,2013,foreign used,automatic,"₦ 11,000,000"
Toyota Venza V6 AWD 2012 Black,Toyota,Venza V6,2012,foreign used,automatic,"₦ 16,200,000"
Toyota Tacoma X-Runner V6 2010 Silver,Toyota,Tacoma X-Runner,2010,foreign used,automatic,"₦ 18,500,000"
Pontiac Vibe 2009 Gray,Pontiac,Vibe,2009,local used,automatic,"₦ 7,800,000"
Honda Accord 2014 Black,Honda,Accord,2014,foreign used,automatic,"₦ 13,000,000"
Honda Accord 2017 Maroon,Honda,Accord,2017,local used,automatic,"₦ 9,700,000"
Toyota Matrix 2005 Silver,Toyota,Matrix,2005,local used,automatic,"₦ 6,200,000"
Honda CR-V 2008 Gold,Honda,CR-V,2008,local used,automatic,"₦ 6,300,000"
Honda Accord EX 4dr Sedan FWD (2.4L 4cyl 2A) 2017 Burgundy,Honda,Accord EX,2017,foreign used,automatic,"₦ 19,000,000"
Kia Sportage EX 4dr SUV (2.4L 4cyl 6A) 2014 Green,Kia,Sportage EX,2014,foreign used,automatic,"₦ 13,500,000"
Toyota Camry SE 2025 Gray,Toyota,Camry SE,2025,foreign used,automatic,"₦ 57,000,000"
Toyota Hilux 2.0 VVT-i 2010 White,Toyota,Hilux 2,2010,local used,manual,"₦ 6,000,000"
Honda CR-V 2004 Red,Honda,CR-V,2004,local used,automatic,"₦ 2,600,000"
Toyota Camry 2005 Silver,Toyota,Camry,2005,local used,automatic,"₦ 3,500,000"
Toyota Camry 2008 Black,Toyota,Camry,2008,local used,automatic,"₦ 6,600,000"
Honda Element 2004 Blue,Honda,Element,2004,local used,automatic,"₦ 2,300,000"
Toyota 4-Runner 2006 Silver,Toyota,4-Runner,2006,local used,automatic,"₦ 7,500,000"
Toyota Camry XLE FWD (2.5L 4cyl 8AM) 2018 White,Toyota,Camry XLE,2018,foreign used,automatic,"₦ 29,000,000"
Toyota Camry 2005 Silver,Toyota,Camry,2005,local used,automatic,"₦ 4,000,000"
Toyota Camry 2.4 LE 2008 Gray,Toyota,Camry 2,2008,local used,automatic,"₦ 4,500,000"
Toyota Corolla S Plus 4dr Sedan (1.8L 4cyl CVT) 2014 Silver,Toyota,Corolla S,2014,local used,automatic,"₦ 9,000,000"
Peugeot 508 2015 Gray,Peugeot,508,2015,local used,automatic,"₦ 7,400,000"
Mercedes-Benz C300 2010 White,Mercedes-Benz,C300,2010,local used,automatic,"₦ 5,450,000"
Toyota Land Cruiser 2016 Black,Toyota,Land Cruiser,2016,foreign used,automatic,"₦ 50,000,000"
Toyota Highlander 2012 Blue,Toyota,Highlander,2012,foreign used,automatic,"₦ 18,500,000"
Land Rover Range Rover Evoque HSE 4x4 5-Door 2019 Gray,Land,Rover Range,2019,foreign used,automatic,"₦ 37,000,000"
Toyota Highlander Limited Platinum V6 4x2 (3.5L 6cyl 6A) 2016 Black,Toyota,Highlander Limited,2016,foreign used,automatic,"₦ 26,500,000"
Acura ZDX Base AWD 2013 Brown,Acura,ZDX Base,2013,foreign used,automatic,"₦ 16,000,000"
Honda Accord Coupe LX-S Automatic 2011 White,Honda,Accord Coupe,2011,foreign used,automatic,"₦ 10,700,000"
Toyota Highlander Limited 4dr SUV (3.5L 6cyl 6A) 2015 Blue,Toyota,Highlander Limited,2015,foreign used,automatic,"₦ 26,500,000"
Honda CR-V Touring AWD 2018 Silver,Honda,CR-V Touring,2018,local used,automatic,"₦ 15,000,000"
Toyota Corolla LE 4dr Sedan (1.8L 4cyl CVT) 2017 Silver,Toyota,Corolla LE,2017,local used,automatic,"₦ 11,800,000"
Lexus ES 350 FWD 2014 Black,Lexus,ES 350,2014,local used,automatic,"₦ 15,500,000"
Hyundai Sonata SE 2016 Off white,Hyundai,Sonata SE,2016,foreign used,automatic,"₦ 12,549,999"
Toyota Corolla 2004 Silver,Toyota,Corolla,2004,local used,automatic,"₦ 3,400,000"
Lexus RX 350 2010 Black,Lexus,RX 350,2010,local used,automatic,"₦ 12,500,000"
Lexus GX 2015 Silver,Lexus,GX,2015,foreign used,automatic,"₦ 50,000,000"
Toyota Highlander Limited 2021 Black,Toyota,Highlander Limited,2021,foreign used,automatic,"₦ 63,000,000"
Mercedes-Benz M Class ML 63 AMG 2012 White,Mercedes-Benz,M Class,2012,foreign used,automatic,"₦ 30,000,000"
Mercedes-Benz C300 2013 Blue,Mercedes-Benz,C300,2013,foreign used,automatic,"₦ 15,500,000"
Toyota Highlander XLE 4dr SUV (3.5L 6cyl 6A) 2015 Gray,Toyota,Highlander XLE,2015,foreign used,automatic,"₦ 26,500,000"
Toyota Camry 2013 Black,Toyota,Camry,2013,foreign used,automatic,"₦ 15,300,000"
Toyota Sienna 2017 Black,Toyota,Sienna,2017,foreign used,automatic,"₦ 34,000,000"
Acura MDX Sport 4dr AWD (3.7L 6cyl 5A) 2008 Black,Acura,MDX Sport,2008,foreign used,automatic,"₦ 9,200,000"
Acura MDX Advance Package SUV AWD (3.7L 6cyl 6A) 2013 Red,Acura,MDX Advance,2013,foreign used,automatic,"₦ 10,500,000"
